ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Большакова Галина Владиславовна;0319 309479;517-123-685 68;частые ОРВИ у детей;педиатр;2025-12-05T16:30+03:00;анализ кала на яйца глист, общий анализ мочи;2025-12-08T13:30+03:00;2350 руб.;5101 2656 9557 9884
Кравцов Геннадий Александрович;5925 854226;636-205-015 58;насморк;лор;2025-12-04T12:30+03:00;мазок из зева;2025-12-08T09:00+03:00;1650 руб.;5486 7378 3613 4071
Крюков Илья Викторович;5224 185752;779-979-955 46;увеличение лимфоузлов, кровотечения, носовые кровотечения;гематолог;2025-11-20T11:30+03:00;анализ крови развернутый;2025-11-24T09:00+03:00;1650 руб.;2200 0585 4982 2742
Фролов Вячеслав Егорович;7700 925603;233-865-596 99;общее недомогание;терапевт;2025-12-15T11:30+03:00;общий анализ крови;2025-12-18T09:00+03:00;800 руб.;5100 0231 7912 8681
Большакова Людмила Константиновна;4224 704506;842-824-172 09;незначительное повышение температуры, легкая тошнота, общее недомогание;геронтолог;2025-11-20T16:45+03:00;общий анализ мочи, общий анализ крови;2025-11-24T09:00+03:00;1400 руб.;4475 2074 7411 2496
Романова Радмила Вадимовна;3622 804712;998-094-024 76;легкая тошнота, головная боль;маммолог;2025-12-19T14:30+03:00;общий анализ крови;2025-12-22T14:30+03:00;800 руб.;5101 2664 0155 7784
Константинова Оксана Филипповна;7212 418099;156-545-271 81;общее недомогание, незначительное повышение температуры, головная боль;физиотерапевт;2025-12-04T16:45+03:00;общий анализ мочи, общий анализ крови;2025-12-08T12:45+03:00;1400 руб.;4627 2948 4656 4825
Константинова Оксана Филипповна;7212 418099;156-545-271 81;резкая потеря веса, повышенная жажда;эндокринолог;2025-12-16T17:00+03:00;анализ крови на инсулин, анализ крови на ТТГ;2025-12-18T09:00+03:00;3300 руб.;4153 7477 0143 6340
Николаев Григорий Павлович;3423 068942;678-669-125 78;бледность, кровоточивость десен;гематолог;2025-12-16T13:15+03:00;анализ крови на железо;2025-12-19T12:15+03:00;1650 руб.;4279 0156 6907 8267
Григорьева Ольга Егоровна;3801 948915;235-784-521 94;общее недомогание;диетолог;2025-12-08T17:45+03:00;общий анализ мочи, общий анализ крови;2025-12-10T13:45+03:00;1400 руб.;5100 2037 7805 2926
Беляева Галина Никитична;5417 452203;917-410-119 80;головная боль, легкая тошнота;неонатолог;2025-12-03T15:30+03:00;общий анализ крови, общий анализ мочи;2025-12-04T17:00+03:00;1400 руб.;2200 0689 3639 2647
Богданова Нина Станиславовна;N66642448;032-420-448 00;головная боль, легкая тошнота;ортодонт;2025-11-24T17:45+03:00;общий анализ мочи;2025-11-25T17:00+03:00;600 руб.;4279 0106 9375 1500
Волков Степан Григорьевич;5023 700675;851-888-880 77;двоение в глазах, покраснение глаз, боль в глазах;офтальмолог;2025-12-16T16:00+03:00;измерение внутриглазного давления;2025-12-17T17:00+03:00;1750 руб.;2200 0581 7058 0254
Веселова Виктория Валентиновна;7811 857627;729-949-387 82;потеря аппетита;терапевт;2025-11-24T15:15+03:00;рентген грудной клетки, анализ крови на сахар;2025-11-26T17:00+03:00;4150 руб.;2200 0775 4692 6322
Константинова Любовь Владимировна;7825 960807;376-815-118 09;легкая тошнота, головная боль;геронтолог;2025-11-28T12:00+03:00;общий анализ крови, общий анализ мочи;2025-12-01T09:00+03:00;1400 руб.;2200 0636 0041 2573
Баранов Вячеслав Григорьевич;3608 838743;260-256-342 45;ограничение движений после травмы;травматолог;2025-11-24T16:30+03:00;кт при травме;2025-11-25T17:30+03:00;9000 руб.;2200 0762 1042 7526
Крылов Геннадий Александрович;7723 249566;738-299-737 68;легкая тошнота;терапевт;2025-12-02T13:45+03:00;рентген грудной клетки;2025-12-03T13:45+03:00;2500 руб.;2200 0392 7868 7654
Антонов Григорий Владиславович;7724 925144;220-681-558 46;общее недомогание;торакальный хирург;2025-12-02T15:00+03:00;общий анализ крови;2025-12-03T17:00+03:00;800 руб.;2200 1445 8929 7506
Веселова Жанна Витальевна;5419 838818;944-846-312 44;легкая тошнота;стоматолог-терапевт;2025-11-27T10:30+03:00;общий анализ крови, общий анализ мочи;2025-11-28T17:00+03:00;1400 руб.;2200 1489 2419 5622
Фролов Максим Ярославович;5219 744944;964-759-876 01;легкая тошнота, общая слабость;физиотерапевт;2025-12-01T09:45+03:00;общий анализ крови, общий анализ мочи;2025-12-02T17:00+03:00;1400 руб.;4475 2033 1190 7909
Беляева Галина Никитична;5417 452203;917-410-119 80;лихорадка, высокая температура, озноб;инфекционист;2025-12-01T16:30+03:00;бакпосев крови;2025-12-03T16:30+03:00;1650 руб.;2200 0484 2710 9478
Григорьева Ольга Егоровна;3801 948915;235-784-521 94;незначительное повышение температуры, головная боль, легкая тошнота;детский хирург;2025-12-01T09:45+03:00;общий анализ крови, общий анализ мочи;2025-12-04T09:00+03:00;1400 руб.;4622 0439 4522 8856
Филиппов Валентин Степанович;4717 273433;534-624-751 90;головная боль;невролог;2025-12-08T14:15+03:00;узи сосудов головы и шеи, мрт головного мозга;2025-12-09T17:00+03:00;15000 руб.;2200 0723 2129 8336
Никифорова Ульяна Леонидовна;4223 618837;251-341-252 24;головная боль;маммолог;2025-11-27T15:15+03:00;общий анализ мочи;2025-12-01T09:15+03:00;600 руб.;2200 0915 6627 7680
